,,,,,Total Root Area (pixels²) at 0.3 confidence - Yolo Model v41,,,,,,,
Type,Plot ID,Genotype,Tube ID,# of Depths,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,"The model doesn't really overestimate, so there is usually at least X amount of pixels in the depth"
HPI,12_144,PI 533986,T604,7,42065,36237,134788,134092,59833,44745,87662,
HPI,12_145,PI 154844,T605,4,0,21276,32349,103717,37300,8854,68652,
HPI,12_146,PI 533936,T606,7,17889,69895,153165,56436,69888,95276,68401,
HPI,12_147,PI 533987,T607,7,42246,119428,198068,223039,182938,218774,140150,
HPI,12_148,PI 548797,T608,7,32883,69525,115821,250203,281337,191037,41411,
HPI,12_150,PI 533985,T609,7,20433,25787,101854,232681,88431,85793,37831,
HPI,12_151,A.522xR.15,T610,2,66594,38246,,,,,,
HPI,12_153,PI 656022,T611,3,99463,75579,127603,,,,,
HPI,12_154,PI 533996,T612,3,34406,53031,84163,,,,,
HPI,12_155,PI 656105,T613,2,31957,113394,,,,,,
HPI,12_156,PI 533940,T614,4,71030,165313,153939,38353,,,,
HPI,13_1,PI 594355,T615,7,80048,65404,78021,73982,84661,59576,79886,
HPI,13_2,PI 574407,T616,7,37491,106624,104527,76567,84290,80926,63253,
HPI,13_3,PI 576376,T617,7,23817,11326,56392,10593,4245,1733,3486,
HPI,13_4,PI 329435,T618,7,94890,73706,132711,111248,121576,122035,,
HPI,13_5,PI 533757,T619,,,,,,,,,
HPI,13_6,PI 534075,T620,7,8688,67957,109713,172465,16329,34494,34417,
HPI,13_7,PI 642791,T621,7,73053,61765,19244,31254,29489,10708,8761,
HPI,13_8,PI 576428,T622,7,7243,10890,16201,15731,9014,5886,0,
HPI,13_9,PI 576333,T623,,,,,,,,,
HPI,13_10,PI 534063,T624,7,87098,121083,221415,76995,80364,109455,97570,
HPI,13_11,PI 533769,T625,7,27393,38522,62496,39014,76099,34676,82446,
HPI,13_12,PI 601264,T626,7,54275,46216,188482,75346,108449,87602,21909,
HPI,13_13,PI 655977,T627,7,42702,35041,63546,70410,4949,24191,22549,
HPI,13_14,PI 602599,T628,5,34474,7047,72471,67933,60550,,,
HPI,13_16,PI 656120,T629,7,27479,140231,204905,94666,111578,91142,98170,
HPI,13_17,PI 533957,T630,7,21971,101118,146603,53701,108156,48463,57977,
HPI,13_18,PI 655979,T631,7,9579,33575,38440,23323,44452,91915,141956,
